0	20
0.01	17.5266
0.02	15.4329
0.03	13.6534
0.04	12.1348
0.05	10.8332
0.06	9.71248
0.07	8.74308
0.08	7.90064
0.09	7.16514
0.1	6.52
0.11	6.32483
0.12	6.19226
0.13	6.03198
0.14	5.852
0.15	5.65862
0.16	5.45678
0.17	5.25034
0.18	5.04231
0.19	4.83499
0.2	4.63016
0.21	4.58879
0.22	4.53439
0.23	4.46787
0.24	4.39113
0.25	4.30585
0.26	4.21357
0.27	4.11562
0.28	4.01321
0.29	3.90738
0.3	3.80375
0.31	3.78077
0.32	3.74981
0.33	3.71165
0.34	3.66707
0.35	3.61679
0.36	3.56148
0.37	3.50178
0.38	3.43828
0.39	3.37153
0.4	3.30629
0.41	3.29109
0.42	3.27058
0.43	3.24518
0.44	3.21527
0.45	3.18124
0.46	3.14345
0.47	3.10225
0.48	3.058
0.49	3.01101
0.5	2.96494
0.51	2.95398
0.52	2.93916
0.53	2.92073
0.54	2.89891
0.55	2.87394
0.56	2.84604
0.57	2.81543
0.58	2.78233
0.59	2.74695
0.6	2.71207
0.61	2.70371
0.62	2.69238
0.63	2.67824
0.64	2.66143
0.65	2.64211
0.66	2.62042
0.67	2.59653
0.68	2.57056
0.69	2.54268
0.7	2.51502
0.71	2.50838
0.72	2.49936
0.73	2.48807
0.74	2.47462
0.75	2.4591
0.76	2.44162
0.77	2.42229
0.78	2.40122
0.79	2.37851
0.8	2.35584
0.81	2.35041
0.82	2.34302
0.83	2.33374
0.84	2.32266
0.85	2.30984
0.86	2.29536
0.87	2.27931
0.88	2.26176
0.89	2.2428
0.9	2.22376
0.91	2.21921
0.92	2.21301
0.93	2.20521
0.94	2.19588
0.95	2.18505
0.96	2.17281
0.97	2.15921
0.98	2.1443
0.99	2.12815
1	2.11184
1.01	2.10797
1.02	2.10267
1.03	2.096
1.04	2.08799
1.05	2.0787
1.06	2.06817
1.07	2.05644
1.08	2.04357
1.09	2.0296
1.1	2.01542
1.11	2.01207
1.12	2.00748
1.13	2.00169
1.14	1.99473
1.15	1.98663
1.16	1.97745
1.17	1.9672
1.18	1.95594
1.19	1.9437
1.2	1.93122
1.21	1.92828
1.22	1.92425
1.23	1.91916
1.24	1.91304
1.25	1.90591
1.26	1.8978
1.27	1.88875
1.28	1.87879
1.29	1.86795
1.3	1.85684
1.31	1.85424
1.32	1.85067
1.33	1.84615
1.34	1.84071
1.35	1.83436
1.36	1.82714
1.37	1.81907
1.38	1.81018
1.39	1.80049
1.4	1.79051
1.41	1.78819
1.42	1.785
1.43	1.78095
1.44	1.77607
1.45	1.77038
1.46	1.76389
1.47	1.75664
1.48	1.74864
1.49	1.73991
1.5	1.73088
1.51	1.72879
1.52	1.72591
1.53	1.72226
1.54	1.71785
1.55	1.71271
1.56	1.70684
1.57	1.70027
1.58	1.69302
1.59	1.6851
1.6	1.67688
1.61	1.67498
1.62	1.67237
1.63	1.66905
1.64	1.66505
1.65	1.66037
1.66	1.65503
1.67	1.64904
1.68	1.64243
1.69	1.6352
1.7	1.62767
1.71	1.62595
1.72	1.62356
1.73	1.62053
1.74	1.61687
1.75	1.61259
1.76	1.6077
1.77	1.60222
1.78	1.59615
1.79	1.58953
1.8	1.58259
1.81	1.58101
1.82	1.57882
1.83	1.57604
1.84	1.57268
1.85	1.56874
1.86	1.56424
1.87	1.5592
1.88	1.55361
1.89	1.5475
1.9	1.54109
1.91	1.53963
1.92	1.53762
1.93	1.53506
1.94	1.53195
1.95	1.52831
1.96	1.52416
1.97	1.51949
1.98	1.51433
1.99	1.50867
2	1.50272
2.01	1.50137
2.02	1.4995
2.03	1.49713
2.04	1.49425
2.05	1.49088
2.06	1.48703
2.07	1.48269
2.08	1.4779
2.09	1.47264
2.1	1.46709
2.11	1.46584
2.12	1.46411
2.13	1.4619
2.14	1.45923
2.15	1.45609
2.16	1.4525
2.17	1.44847
2.18	1.44399
2.19	1.4391
2.2	1.43391
2.21	1.43274
2.22	1.43113
2.23	1.42907
2.24	1.42657
2.25	1.42364
2.26	1.42029
2.27	1.41652
2.28	1.41234
2.29	1.40776
2.3	1.40289
2.31	1.4018
2.32	1.40029
2.33	1.39837
2.34	1.39603
2.35	1.39329
2.36	1.39015
2.37	1.38661
2.38	1.38269
2.39	1.3784
2.4	1.37382
2.41	1.3728
2.42	1.37139
2.43	1.36958
2.44	1.36738
2.45	1.36481
2.46	1.36186
2.47	1.35854
2.48	1.35485
2.49	1.35081
2.5	1.34649
2.51	1.34554
2.52	1.34421
2.53	1.34251
2.54	1.34044
2.55	1.33802
2.56	1.33524
2.57	1.33211
2.58	1.32864
2.59	1.32483
2.6	1.32075
2.61	1.31985
2.62	1.3186
2.63	1.31699
2.64	1.31505
