# t[s]	cA_low	cB_low	cC_low	cA_high	cB_high	cC_high	cA_extr	cB_extr	cC_extr	Err_low	Err_high
14.95	4.61742e-07	5.13047e-08	0.999999	3.86481e-07	4.29424e-08	1	3.1122e-07	3.458e-08	1	2.25628e-07	1.12814e-07
15	4.39754e-07	4.88616e-08	1	3.67858e-07	4.08732e-08	1	2.95962e-07	3.28847e-08	1	2.1554e-07	1.0777e-07
15.05	4.18814e-07	4.65349e-08	1	3.50133e-07	3.89037e-08	1	2.81452e-07	3.12725e-08	1	2.05901e-07	1.02951e-07
15.1	3.9887e-07	4.43189e-08	1	3.33262e-07	3.70291e-08	1	2.67653e-07	2.97392e-08	1	1.96691e-07	9.83455e-08
15.15	3.79876e-07	4.22085e-08	1	3.17203e-07	3.52448e-08	1	2.5453e-07	2.82811e-08	1	1.87891e-07	9.39454e-08
15.2	3.61787e-07	4.01986e-08	1	3.01919e-07	3.35465e-08	1	2.4205e-07	2.68945e-08	1	1.79482e-07	8.97412e-08
15.25	3.44559e-07	3.82843e-08	1	2.8737e-07	3.19301e-08	1	2.30182e-07	2.55758e-08	1	1.71448e-07	8.57242e-08
15.3	3.28152e-07	3.64613e-08	1	2.73523e-07	3.03915e-08	1	2.18895e-07	2.43217e-08	1	1.63772e-07	8.18861e-08
15.35	3.12525e-07	3.4725e-08	1	2.60343e-07	2.8927e-08	1	2.08162e-07	2.31291e-08	1	1.56438e-07	7.82191e-08
15.4	2.97643e-07	3.30715e-08	1	2.47799e-07	2.75332e-08	1	1.97954e-07	2.19949e-08	1	1.49431e-07	7.47155e-08
15.45	2.8347e-07	3.14966e-08	1	2.35858e-07	2.62065e-08	1	1.88247e-07	2.09163e-08	1	1.42736e-07	7.1368e-08
15.5	2.69971e-07	2.99968e-08	1	2.24493e-07	2.49437e-08	1	1.79016e-07	1.98906e-08	1	1.3634e-07	6.81699e-08
15.55	2.57115e-07	2.85684e-08	1	2.13676e-07	2.37418e-08	1	1.70237e-07	1.89152e-08	1	1.30229e-07	6.51143e-08
15.6	2.44872e-07	2.7208e-08	1	2.0338e-07	2.25978e-08	1	1.61888e-07	1.79876e-08	1	1.2439e-07	6.21951e-08
15.65	2.33211e-07	2.59124e-08	1	1.9358e-07	2.15089e-08	1	1.53949e-07	1.71054e-08	1	1.18812e-07	5.94062e-08
15.7	2.22106e-07	2.46784e-08	1	1.84252e-07	2.04725e-08	1	1.46398e-07	1.62665e-08	1	1.13483e-07	5.67417e-08
15.75	2.11529e-07	2.35033e-08	1	1.75374e-07	1.9486e-08	1	1.39218e-07	1.54687e-08	1	1.08392e-07	5.41962e-08
15.8	2.01457e-07	2.23841e-08	1	1.66923e-07	1.8547e-08	1	1.3239e-07	1.471e-08	1	1.03529e-07	5.17643e-08
15.85	1.91863e-07	2.13182e-08	1	1.5888e-07	1.76533e-08	1	1.25897e-07	1.39885e-08	1	9.88823e-08	4.94411e-08
15.9	1.82727e-07	2.0303e-08	1	1.51224e-07	1.68027e-08	1	1.19722e-07	1.33024e-08	1	9.44434e-08	4.72217e-08
15.95	1.74026e-07	1.93362e-08	1	1.43937e-07	1.59931e-08	1	1.13849e-07	1.26499e-08	1	9.0203e-08	4.51015e-08
16	1.65739e-07	1.84154e-08	1	1.37002e-07	1.52224e-08	1	1.08265e-07	1.20294e-08	1	8.61521e-08	4.3076e-08
16.05	1.57847e-07	1.75385e-08	1	1.304e-07	1.44889e-08	1	1.02954e-07	1.14393e-08	1	8.22823e-08	4.11412e-08
16.1	1.5033e-07	1.67033e-08	1	1.24117e-07	1.37908e-08	1	9.79037e-08	1.08782e-08	1	7.85856e-08	3.92928e-08
16.15	1.43171e-07	1.59079e-08	1	1.18136e-07	1.31262e-08	1	9.31009e-08	1.03445e-08	1	7.50542e-08	3.75271e-08
16.2	1.36354e-07	1.51504e-08	1	1.12444e-07	1.24937e-08	1	8.85337e-08	9.83708e-09	1	7.16809e-08	3.58404e-08
16.25	1.29861e-07	1.4429e-08	1	1.07026e-07	1.18917e-08	1	8.41904e-08	9.35449e-09	1	6.84585e-08	3.42292e-08
16.3	1.23677e-07	1.37419e-08	1	1.01868e-07	1.13187e-08	1	8.00601e-08	8.89556e-09	1	6.53803e-08	3.26902e-08
16.35	1.17788e-07	1.30875e-08	1	9.69599e-08	1.07733e-08	1	7.61322e-08	8.45914e-09	1	6.244e-08	3.122e-08
16.4	1.12179e-07	1.24643e-08	1	9.22878e-08	1.02542e-08	1	7.2397e-08	8.04411e-09	1	5.96314e-08	2.98157e-08
16.45	1.06837e-07	1.18707e-08	1	8.78409e-08	9.7601e-09	1	6.8845e-08	7.64944e-09	1	5.69485e-08	2.84743e-08
16.5	1.01749e-07	1.13055e-08	1	8.36082e-08	9.2898e-09	1	6.54671e-08	7.27412e-09	1	5.43859e-08	2.71929e-08
16.55	9.69041e-08	1.07671e-08	1	7.95795e-08	8.84216e-09	1	6.22549e-08	6.91721e-09	1	5.19381e-08	2.5969e-08
16.6	9.22896e-08	1.02544e-08	1	7.57449e-08	8.4161e-09	1	5.92002e-08	6.5778e-09	1	4.96e-08	2.48e-08
16.65	8.78948e-08	9.76609e-09	1	7.20951e-08	8.01056e-09	1	5.62953e-08	6.25504e-09	1	4.73668e-08	2.36834e-08
16.7	8.37094e-08	9.30104e-09	1	6.86211e-08	7.62457e-09	1	5.35329e-08	5.9481e-09	1	4.52337e-08	2.26168e-08
16.75	7.97232e-08	8.85814e-09	1	6.53146e-08	7.25718e-09	1	5.0906e-08	5.65622e-09	1	4.31962e-08	2.15981e-08
16.8	7.59269e-08	8.43632e-09	1	6.21674e-08	6.90748e-09	1	4.84079e-08	5.37865e-09	1	4.12502e-08	2.06251e-08
16.85	7.23113e-08	8.03459e-09	1	5.91718e-08	6.57464e-09	1	4.60323e-08	5.1147e-09	1	3.93915e-08	1.96958e-08
16.9	6.88679e-08	7.65199e-09	1	5.63206e-08	6.25784e-09	1	4.37732e-08	4.86369e-09	1	3.76162e-08	1.88081e-08
16.95	6.55885e-08	7.28761e-09	1	5.36067e-08	5.9563e-09	1	4.1625e-08	4.625e-09	1	3.59206e-08	1.79603e-08
17	6.24652e-08	6.94058e-09	1	5.10237e-08	5.66929e-09	1	3.95821e-08	4.39801e-09	1	3.43012e-08	1.71506e-08
17.05	5.94907e-08	6.61008e-09	1	4.8565e-08	5.39612e-09	1	3.76394e-08	4.18216e-09	1	3.27545e-08	1.63772e-08
17.1	5.66578e-08	6.29531e-09	1	4.62249e-08	5.1361e-09	1	3.5792e-08	3.97689e-09	1	3.12772e-08	1.56386e-08
17.15	5.39598e-08	5.99553e-09	1	4.39975e-08	4.88861e-09	1	3.40353e-08	3.7817e-09	1	2.98663e-08	1.49332e-08
17.2	5.13903e-08	5.71003e-09	1	4.18775e-08	4.65305e-09	1	3.23647e-08	3.59608e-09	1	2.85188e-08	1.42594e-08
17.25	4.89431e-08	5.43813e-09	1	3.98596e-08	4.42884e-09	1	3.07761e-08	3.41956e-09	1	2.72319e-08	1.3616e-08
17.3	4.66125e-08	5.17917e-09	1	3.79389e-08	4.21544e-09	1	2.92654e-08	3.25171e-09	1	2.60029e-08	1.30014e-08
17.35	4.43929e-08	4.93254e-09	1	3.61108e-08	4.01231e-09	1	2.78288e-08	3.09209e-09	1	2.48291e-08	1.24145e-08
17.4	4.22789e-08	4.69766e-09	1	3.43708e-08	3.81898e-09	1	2.64627e-08	2.9403e-09	1	2.37081e-08	1.1854e-08
17.45	4.02656e-08	4.47396e-09	1	3.27146e-08	3.63496e-09	1	2.51636e-08	2.79596e-09	1	2.26375e-08	1.13188e-08
17.5	3.83482e-08	4.26091e-09	1	3.11383e-08	3.45981e-09	1	2.39283e-08	2.6587e-09	1	2.16151e-08	1.08075e-08
17.55	3.65221e-08	4.05801e-09	1	2.96378e-08	3.29309e-09	1	2.27535e-08	2.52817e-09	1	2.06387e-08	1.03193e-08
17.6	3.4783e-08	3.86478e-09	1	2.82097e-08	3.13441e-09	1	2.16365e-08	2.40405e-09	1	1.97062e-08	9.85312e-09
17.65	3.31266e-08	3.68074e-09	1	2.68504e-08	2.98338e-09	1	2.05742e-08	2.28602e-09	1	1.88158e-08	9.40788e-09
17.7	3.15492e-08	3.50546e-09	1	2.55566e-08	2.83962e-09	1	1.9564e-08	2.17378e-09	1	1.79654e-08	8.98269e-09
17.75	3.00468e-08	3.33854e-09	1	2.43252e-08	2.70279e-09	1	1.86035e-08	2.06705e-09	1	1.71533e-08	8.57665e-09
17.8	2.8616e-08	3.17956e-09	1	2.3153e-08	2.57256e-09	1	1.769e-08	1.96556e-09	1	1.63778e-08	8.18889e-09
17.85	2.72534e-08	3.02815e-09	1	2.20374e-08	2.4486e-09	1	1.68214e-08	1.86904e-09	1	1.56372e-08	7.81861e-09
17.9	2.59556e-08	2.88395e-09	1	2.09755e-08	2.33061e-09	1	1.59954e-08	1.77727e-09	1	1.493e-08	7.46501e-09
17.95	2.47196e-08	2.74662e-09	1	1.99648e-08	2.21831e-09	1	1.521e-08	1.69e-09	1	1.42547e-08	7.12735e-09
18	2.35425e-08	2.61583e-09	1	1.90028e-08	2.11142e-09	1	1.44631e-08	1.60701e-09	1	1.36098e-08	6.8049e-09
18.05	2.24214e-08	2.49127e-09	1	1.80871e-08	2.00968e-09	1	1.37528e-08	1.52809e-09	1	1.2994e-08	6.497e-09
18.1	2.13537e-08	2.37264e-09	1	1.72156e-08	1.91284e-09	1	1.30774e-08	1.45305e-09	1	1.2406e-08	6.20298e-09
18.15	2.03369e-08	2.25965e-09	1	1.6386e-08	1.82067e-09	1	1.24352e-08	1.38169e-09	1	1.18444e-08	5.92222e-09
18.2	1.93685e-08	2.15205e-09	1	1.55965e-08	1.73294e-09	1	1.18245e-08	1.31383e-09	1	1.13082e-08	5.65412e-09
18.25	1.84462e-08	2.04957e-09	1	1.48449e-08	1.64944e-09	1	1.12437e-08	1.2493e-09	1	1.07963e-08	5.39813e-09
18.3	1.75678e-08	1.95197e-09	1	1.41296e-08	1.56996e-09	1	1.06915e-08	1.18794e-09	1	1.03074e-08	5.15368e-09
18.35	1.67312e-08	1.85902e-09	1	1.34488e-08	1.49431e-09	1	1.01663e-08	1.12959e-09	1	9.84053e-09	4.92027e-09
18.4	1.59345e-08	1.7705e-09	1	1.28007e-08	1.4223e-09	1	9.667e-09	1.07411e-09	1	9.39478e-09	4.69739e-09
18.45	1.51757e-08	1.68619e-09	1	1.21839e-08	1.35377e-09	1	9.19216e-09	1.02135e-09	1	8.96915e-09	4.48457e-09
18.5	1.4453e-08	1.60589e-09	1	1.15968e-08	1.28854e-09	1	8.74063e-09	9.71181e-10	1	8.56274e-09	4.28137e-09
18.55	1.37648e-08	1.52942e-09	1	1.1038e-08	1.22645e-09	1	8.31127e-09	9.23475e-10	1	8.17469e-09	4.08734e-09
18.6	1.31093e-08	1.45659e-09	1	1.05062e-08	1.16735e-09	1	7.90299e-09	8.7811e-10	1	7.80417e-09	3.90208e-09
18.65	1.24851e-08	1.38723e-09	1	9.99992e-09	1.1111e-09	1	7.51475e-09	8.34972e-10	1	7.45038e-09	3.72519e-09
18.7	1.18906e-08	1.32117e-09	1	9.51807e-09	1.05756e-09	1	7.14558e-09	7.93953e-10	1	7.11259e-09	3.55629e-09
18.75	1.13243e-08	1.25826e-09	1	9.05943e-09	1.0066e-09	1	6.79452e-09	7.54947e-10	1	6.79006e-09	3.39503e-09
18.8	1.07851e-08	1.19834e-09	1	8.6229e-09	9.581e-10	1	6.46071e-09	7.17857e-10	1	6.48211e-09	3.24106e-09
18.85	1.02715e-08	1.14128e-09	1	8.2074e-09	9.11933e-10	1	6.14329e-09	6.82587e-10	1	6.18809e-09	3.09404e-09
18.9	9.78239e-09	1.08693e-09	1	7.81192e-09	8.67991e-10	1	5.84145e-09	6.4905e-10	1	5.90736e-09	2.95368e-09
18.95	9.31656e-09	1.03517e-09	1	7.4355e-09	8.26166e-10	1	5.55443e-09	6.17159e-10	1	5.63932e-09	2.81966e-09
19	8.87292e-09	9.8588e-10	1	7.07721e-09	7.86357e-10	1	5.28151e-09	5.86835e-10	1	5.38341e-09	2.69171e-09
19.05	8.4504e-09	9.38933e-10	1	6.73619e-09	7.48466e-10	1	5.02199e-09	5.57999e-10	1	5.13908e-09	2.56954e-09
19.1	8.048e-09	8.94222e-10	1	6.41161e-09	7.12401e-10	1	4.77522e-09	5.3058e-10	1	4.9058e-09	2.4529e-09
19.15	7.66476e-09	8.5164e-10	1	6.10266e-09	6.78073e-10	1	4.54056e-09	5.04507e-10	1	4.68308e-09	2.34154e-09
19.2	7.29977e-09	8.11086e-10	1	5.8086e-09	6.454e-10	1	4.31743e-09	4.79714e-10	1	4.47045e-09	2.23522e-09
19.25	6.95216e-09	7.72462e-10	1	5.52871e-09	6.14301e-10	1	4.10525e-09	4.56139e-10	1	4.26743e-09	2.13372e-09
19.3	6.62111e-09	7.35678e-10	1	5.2623e-09	5.847e-10	1	3.9035e-09	4.33722e-10	1	4.07361e-09	2.03681e-09
19.35	6.30582e-09	7.00646e-10	1	5.00874e-09	5.56526e-10	1	3.71166e-09	4.12406e-10	1	3.88857e-09	1.94429e-09
19.4	6.00554e-09	6.67282e-10	1	4.76739e-09	5.2971e-10	1	3.52924e-09	3.92137e-10	1	3.71191e-09	1.85595e-09
19.45	5.71956e-09	6.35507e-10	1	4.53767e-09	5.04185e-10	1	3.35578e-09	3.72864e-10	1	3.54325e-09	1.77162e-09
19.5	5.4472e-09	6.05245e-10	1	4.31902e-09	4.79891e-10	1	3.19084e-09	3.54537e-10	1	3.38223e-09	1.69111e-09
19.55	5.18781e-09	5.76423e-10	1	4.1109e-09	4.56767e-10	1	3.034e-09	3.37111e-10	1	3.22851e-09	1.61425e-09
19.6	4.94077e-09	5.48975e-10	1	3.91282e-09	4.34757e-10	1	2.88486e-09	3.2054e-10	1	3.08175e-09	1.54088e-09
19.65	4.7055e-09	5.22833e-10	1	3.72428e-09	4.13808e-10	1	2.74305e-09	3.04784e-10	1	2.94165e-09	1.47082e-09
19.7	4.48143e-09	4.97936e-10	1	3.54482e-09	3.93869e-10	1	2.60821e-09	2.89801e-10	1	2.80789e-09	1.40395e-09
19.75	4.26802e-09	4.74225e-10	1	3.37401e-09	3.7489e-10	1	2.48e-09	2.75555e-10	1	2.68021e-09	1.3401e-09
19.8	4.06478e-09	4.51643e-10	1	3.21143e-09	3.56826e-10	1	2.35808e-09	2.62009e-10	1	2.55831e-09	1.27915e-09
19.85	3.87122e-09	4.30136e-10	1	3.05669e-09	3.39632e-10	1	2.24215e-09	2.49128e-10	1	2.44194e-09	1.22097e-09
19.9	3.68688e-09	4.09653e-10	1	2.9094e-09	3.23266e-10	1	2.13192e-09	2.3688e-10	1	2.33085e-09	1.16542e-09
19.95	3.51131e-09	3.90146e-10	1	2.76921e-09	3.0769e-10	1	2.0271e-09	2.25233e-10	1	2.2248e-09	1.1124e-09
20	3.34411e-09	3.71568e-10	1	2.63577e-09	2.92863e-10	1	1.92743e-09	2.14159e-10	1	2.12356e-09	1.06178e-09
