# t  cA_high  cB_high  cC_high  err_norm
5.3 0.00532771 0.000591968 0.99408 0.00051996
5.35 0.00507099 0.000563443 0.994366 0.000499725
5.4 0.00482664 0.000536294 0.994637 0.000480235
5.45 0.00459407 0.000510452 0.994895 0.000461465
5.5 0.0043727 0.000485855 0.995141 0.000443392
5.55 0.004162 0.000462444 0.995376 0.000425992
5.6 0.00396145 0.000440161 0.995598 0.000409241
5.65 0.00377056 0.000418952 0.99581 0.000393118
5.7 0.00358888 0.000398764 0.996012 0.0003776
5.75 0.00341595 0.00037955 0.996205 0.000362667
5.8 0.00325135 0.000361261 0.996387 0.000348298
5.85 0.00309468 0.000343853 0.996561 0.000334474
5.9 0.00294556 0.000327284 0.996727 0.000321175
5.95 0.00280363 0.000311514 0.996885 0.000308382
6 0.00266853 0.000296503 0.997035 0.000296078
6.05 0.00253995 0.000282216 0.997178 0.000284245
6.1 0.00241756 0.000268618 0.997314 0.000272867
6.15 0.00230107 0.000255674 0.997443 0.000261926
6.2 0.00219019 0.000243354 0.997566 0.000251408
6.25 0.00208465 0.000231628 0.997684 0.000241296
6.3 0.0019842 0.000220467 0.997795 0.000231576
6.35 0.00188859 0.000209844 0.997902 0.000222234
6.4 0.00179759 0.000199732 0.998003 0.000213255
6.45 0.00171097 0.000190108 0.998099 0.000204627
6.5 0.00162853 0.000180947 0.998191 0.000196336
6.55 0.00155006 0.000172228 0.998278 0.000188369
6.6 0.00147537 0.000163929 0.998361 0.000180716
6.65 0.00140427 0.00015603 0.99844 0.000173363
6.7 0.00133661 0.000148512 0.998515 0.0001663
6.75 0.0012722 0.000141356 0.998586 0.000159517
6.8 0.0012109 0.000134545 0.998655 0.000153001
6.85 0.00115255 0.000128061 0.998719 0.000146744
6.9 0.00109702 0.000121891 0.998781 0.000140735
6.95 0.00104416 0.000116017 0.99884 0.000134965
7 0.000993843 0.000110427 0.998896 0.000129424
7.05 0.000945954 0.000105106 0.998949 0.000124105
7.1 0.000900373 0.000100041 0.999 0.000118999
7.15 0.000856988 9.52208e-05 0.999048 0.000114097
7.2 0.000815693 9.06326e-05 0.999094 0.000109392
7.25 0.000776388 8.62654e-05 0.999137 0.000104875
7.3 0.000738978 8.21086e-05 0.999179 0.00010054
7.35 0.00070337 7.81522e-05 0.999218 9.63804e-05
7.4 0.000669477 7.43864e-05 0.999256 9.23882e-05
7.45 0.000637218 7.0802e-05 0.999292 8.85573e-05
7.5 0.000606513 6.73904e-05 0.999326 8.48815e-05
7.55 0.000577288 6.41431e-05 0.999359 8.13546e-05
7.6 0.000549471 6.10524e-05 0.999389 7.79708e-05
7.65 0.000522995 5.81105e-05 0.999419 7.47246e-05
7.7 0.000497794 5.53104e-05 0.999447 7.16104e-05
7.75 0.000473807 5.26453e-05 0.999474 6.86231e-05
7.8 0.000450977 5.01085e-05 0.999499 6.57577e-05
7.85 0.000429246 4.7694e-05 0.999523 6.30094e-05
7.9 0.000408563 4.53958e-05 0.999546 6.03735e-05
7.95 0.000388876 4.32084e-05 0.999568 5.78455e-05
8 0.000370137 4.11264e-05 0.999589 5.54212e-05
8.05 0.000352302 3.91447e-05 0.999609 5.30965e-05
8.1 0.000335326 3.72585e-05 0.999627 5.08673e-05
8.15 0.000319168 3.54632e-05 0.999645 4.87298e-05
8.2 0.000303789 3.37543e-05 0.999662 4.66804e-05
8.25 0.000289151 3.21279e-05 0.999679 4.47155e-05
8.3 0.000275218 3.05798e-05 0.999694 4.28318e-05
8.35 0.000261956 2.91063e-05 0.999709 4.10259e-05
8.4 0.000249334 2.77038e-05 0.999723 3.92947e-05
8.45 0.00023732 2.63688e-05 0.999736 3.76353e-05
8.5 0.000225884 2.50982e-05 0.999749 3.60447e-05
8.55 0.000215 2.38889e-05 0.999761 3.45201e-05
8.6 0.00020464 2.27378e-05 0.999773 3.30589e-05
8.65 0.000194779 2.16421e-05 0.999784 3.16584e-05
8.7 0.000185394 2.05993e-05 0.999794 3.03163e-05
8.75 0.00017646 1.96067e-05 0.999804 2.90301e-05
8.8 0.000167957 1.86619e-05 0.999813 2.77976e-05
8.85 0.000159864 1.77627e-05 0.999822 2.66165e-05
8.9 0.000152161 1.69068e-05 0.999831 2.54848e-05
8.95 0.000144829 1.60921e-05 0.999839 2.44005e-05
9 0.000137851 1.53167e-05 0.999847 2.33616e-05
9.05 0.000131208 1.45787e-05 0.999854 2.23662e-05
9.1 0.000124886 1.38762e-05 0.999861 2.14126e-05
9.15 0.000118868 1.32076e-05 0.999868 2.0499e-05
9.2 0.00011314 1.25712e-05 0.999874 1.96238e-05
9.25 0.000107689 1.19654e-05 0.99988 1.87854e-05
9.3 0.0001025 1.13888e-05 0.999886 1.79823e-05
9.35 9.75606e-05 1.08401e-05 0.999892 1.72131e-05
9.4 9.28596e-05 1.03177e-05 0.999897 1.64762e-05
9.45 8.83851e-05 9.82056e-06 0.999902 1.57705e-05
9.5 8.41262e-05 9.34735e-06 0.999907 1.50946e-05
9.55 8.00725e-05 8.89695e-06 0.999911 1.44473e-05
9.6 7.62142e-05 8.46824e-06 0.999915 1.38273e-05
9.65 7.25417e-05 8.06019e-06 0.999919 1.32336e-05
9.7 6.90463e-05 7.67181e-06 0.999923 1.2665e-05
9.75 6.57192e-05 7.30214e-06 0.999927 1.21206e-05
9.8 6.25525e-05 6.95028e-06 0.99993 1.15992e-05
9.85 5.95384e-05 6.61538e-06 0.999934 1.11e-05
9.9 5.66695e-05 6.29661e-06 0.999937 1.0622e-05
9.95 5.39388e-05 5.9932e-06 0.99994 1.01643e-05
10 5.13398e-05 5.70442e-06 0.999943 9.72608e-06
10.05 4.88659e-05 5.42955e-06 0.999946 9.30654e-06
10.1 4.65113e-05 5.16792e-06 0.999948 8.90487e-06
10.15 4.42701e-05 4.9189e-06 0.999951 8.52033e-06
10.2 4.21369e-05 4.68188e-06 0.999953 8.15219e-06
10.25 4.01065e-05 4.45628e-06 0.999955 7.79978e-06
10.3 3.8174e-05 4.24155e-06 0.999958 7.46242e-06
10.35 3.63345e-05 4.03717e-06 0.99996 7.13949e-06
10.4 3.45837e-05 3.84264e-06 0.999962 6.83037e-06
10.45 3.29173e-05 3.65748e-06 0.999963 6.53448e-06
10.5 3.13312e-05 3.48124e-06 0.999965 6.25127e-06
10.55 2.98215e-05 3.31349e-06 0.999967 5.9802e-06
10.6 2.83845e-05 3.15383e-06 0.999968 5.72075e-06
10.65 2.70168e-05 3.00186e-06 0.99997 5.47244e-06
10.7 2.57149e-05 2.85722e-06 0.999971 5.23479e-06
10.75 2.44759e-05 2.71954e-06 0.999973 5.00736e-06
10.8 2.32965e-05 2.5885e-06 0.999974 4.7897e-06
10.85 2.21739e-05 2.46377e-06 0.999975 4.5814e-06
10.9 2.11055e-05 2.34505e-06 0.999977 4.38207e-06
10.95 2.00885e-05 2.23205e-06 0.999978 4.19132e-06
11 1.91205e-05 2.1245e-06 0.999979 4.0088e-06
11.05 1.81992e-05 2.02213e-06 0.99998 3.83414e-06
11.1 1.73222e-05 1.92469e-06 0.999981 3.66702e-06
11.15 1.64875e-05 1.83195e-06 0.999982 3.50711e-06
11.2 1.56931e-05 1.74368e-06 0.999983 3.35411e-06
11.25 1.49369e-05 1.65966e-06 0.999983 3.20771e-06
11.3 1.42172e-05 1.57968e-06 0.999984 3.06765e-06
11.35 1.35321e-05 1.50357e-06 0.999985 2.93365e-06
11.4 1.288e-05 1.43112e-06 0.999986 2.80544e-06
11.45 1.22594e-05 1.36216e-06 0.999986 2.68279e-06
11.5 1.16687e-05 1.29652e-06 0.999987 2.56545e-06
11.55 1.11064e-05 1.23405e-06 0.999988 2.45319e-06
11.6 1.05713e-05 1.17458e-06 0.999988 2.34581e-06
11.65 1.00619e-05 1.11799e-06 0.999989 2.24308e-06
11.7 9.57703e-06 1.06411e-06 0.999989 2.14481e-06
11.75 9.11556e-06 1.01284e-06 0.99999 2.05081e-06
11.8 8.67632e-06 9.64035e-07 0.99999 1.96089e-06
11.85 8.25825e-06 9.17583e-07 0.999991 1.87489e-06
11.9 7.86032e-06 8.73369e-07 0.999991 1.79262e-06
11.95 7.48156e-06 8.31285e-07 0.999992 1.71393e-06
12 7.12106e-06 7.91229e-07 0.999992 1.63867e-06
12.05 6.77793e-06 7.53103e-07 0.999992 1.56669e-06
12.1 6.45133e-06 7.16814e-07 0.999993 1.49784e-06
12.15 6.14047e-06 6.82274e-07 0.999993 1.43199e-06
12.2 5.84459e-06 6.49398e-07 0.999994 1.36902e-06
12.25 5.56296e-06 6.18107e-07 0.999994 1.30879e-06
12.3 5.29491e-06 5.88323e-07 0.999994 1.25119e-06
12.35 5.03977e-06 5.59974e-07 0.999994 1.1961e-06
12.4 4.79692e-06 5.32991e-07 0.999995 1.14343e-06
12.45 4.56578e-06 5.07309e-07 0.999995 1.09305e-06
12.5 4.34578e-06 4.82864e-07 0.999995 1.04488e-06
12.55 4.13637e-06 4.59597e-07 0.999995 9.98814e-07
12.6 3.93706e-06 4.37451e-07 0.999996 9.54765e-07
12.65 3.74735e-06 4.16372e-07 0.999996 9.12643e-07
