0	 0	 
0.02	 0.0324815	 
0.04	 0.0747711	 
0.06	 0.126943	 
0.08	 0.188418	 
0.1	 0.257942	 
0.12	 0.33364	 
0.14	 0.413137	 
0.16	 0.493711	 
0.18	 0.572479	 
0.2	 0.646575	 
0.22	 0.713312	 
0.24	 0.770327	 
0.26	 0.815685	 
0.28	 0.847956	 
0.3	 0.866266	 
0.32	 0.870313	 
0.34	 0.860357	 
0.36	 0.837187	 
0.38	 0.802065	 
0.4	 0.756652	 
0.42	 0.70291	 
0.44	 0.643001	 
0.46	 0.579169	 
0.48	 0.513626	 
0.5	 0.448441	 
0.52	 0.385443	 
0.54	 0.326141	 
0.56	 0.271683	 
0.58	 0.22283	 
0.6	 0.179973	 
0.62	 0.143171	 
0.64	 0.11221	 
0.66	 0.086668	 
0.68	 0.0659893	 
0.7	 0.0495469	 
0.72	 0.0366968	 
0.74	 0.0268194	 
0.76	 0.0193469	 
0.78	 0.0137799	 
0.8	 0.00969347	 
0.82	 0.00673636	 
0.84	 0.004626	 
0.86	 0.00314014	 
0.88	 0.00210791	 
0.9	 0.00140064	 
0.92	 0.000923825	 
0.94	 0.000610362	 
0.96	 0.000416008	 
0.98	 0.00031786	 
1	 0.00031786	 
