# t	Nm	Np	Vr	Vdot
0.000000	0.000000	0.000000	10.000000	1.000000
0.100000	0.796000	0.004000	10.099864	1.000000
0.200000	1.584080	0.015920	10.199457	1.000000
0.300000	2.364319	0.035681	10.298784	1.000000
0.400000	3.136795	0.063205	10.397845	1.000000
0.500000	3.901584	0.098416	10.496645	1.000000
0.600000	4.658764	0.141236	10.595185	1.000000
0.700000	5.408411	0.191589	10.693469	1.000000
0.800000	6.150598	0.249402	10.791498	1.000000
0.900000	6.885400	0.314600	10.889275	1.000000
1.000000	7.612892	0.387108	10.986803	1.000000
1.100000	8.333145	0.466855	11.084084	1.000000
1.200000	9.046231	0.553769	11.181122	1.000000
1.300000	9.752222	0.647778	11.277917	1.000000
1.400000	10.451189	0.748811	11.374472	1.000000
1.500000	11.143201	0.856799	11.470791	1.000000
1.600000	11.828328	0.971672	11.566875	1.000000
1.700000	12.506638	1.093362	11.662726	1.000000
1.800000	13.178198	1.221802	11.758348	1.000000
1.900000	13.843077	1.356923	11.853741	1.000000
2.000000	14.501340	1.498660	11.948909	1.000000
2.100000	15.153053	1.646947	12.043854	1.000000
2.200000	15.798282	1.801718	12.138578	1.000000
2.300000	16.437091	1.962909	12.233083	1.000000
2.400000	17.069544	2.130456	12.327371	1.000000
2.500000	17.695705	2.304295	12.421444	1.000000
2.600000	18.315634	2.484366	12.515306	1.000000
2.700000	18.929396	2.670604	12.608957	1.000000
2.800000	19.537051	2.862949	12.702399	1.000000
2.900000	20.138659	3.061341	12.795636	1.000000
3.000000	20.734282	3.265718	12.888669	1.000000
3.100000	21.323978	3.476022	12.981499	1.000000
3.200000	21.907807	3.692193	13.074130	1.000000
3.300000	22.485827	3.914173	13.166562	1.000000
3.400000	23.058095	4.141905	13.258799	1.000000
3.500000	23.624670	4.375330	13.350841	1.000000
3.600000	24.185607	4.614393	13.442691	1.000000
3.700000	24.740963	4.859037	13.534351	1.000000
3.800000	25.290793	5.109207	13.625822	1.000000
3.900000	25.835152	5.364848	13.717107	1.000000
4.000000	26.374095	5.625905	13.808208	1.000000
4.100000	26.907676	5.892324	13.899125	1.000000
4.200000	27.435947	6.164053	13.989862	1.000000
4.300000	27.958963	6.441037	14.080419	1.000000
4.400000	28.476774	6.723226	14.170799	1.000000
4.500000	28.989433	7.010567	14.261003	1.000000
4.600000	29.496991	7.303009	14.351034	1.000000
4.700000	29.999499	7.600501	14.440892	1.000000
4.800000	30.497007	7.902993	14.530580	1.000000
4.900000	30.989565	8.210435	14.620099	1.000000
5.000000	31.477222	8.522778	14.709451	1.000000
5.100000	31.960027	8.839973	14.798637	1.000000
5.200000	32.438027	9.161973	14.887660	1.000000
5.300000	32.911272	9.488728	14.976521	1.000000
5.400000	33.379808	9.820192	15.065221	1.000000
5.500000	33.843682	10.156318	15.153762	1.000000
5.600000	34.302941	10.497059	15.242146	1.000000
5.700000	34.757630	10.842370	15.330374	1.000000
5.800000	35.207795	11.192205	15.418448	1.000000
5.900000	35.653481	11.546519	15.506369	1.000000
6.000000	36.094732	11.905268	15.594139	1.000000
6.100000	36.531593	12.268407	15.681759	1.000000
6.200000	36.964107	12.635893	15.769231	1.000000
6.300000	37.392317	13.007683	15.856556	1.000000
6.400000	37.816267	13.383733	15.943736	1.000000
6.500000	38.235999	13.764001	16.030773	1.000000
6.600000	38.651554	14.148446	16.117667	1.000000
6.700000	39.062975	14.537025	16.204420	1.000000
6.800000	39.470301	14.929699	16.291033	1.000000
6.900000	39.873575	15.326425	16.377508	1.000000
7.000000	40.272837	15.727163	16.463847	1.000000
7.100000	40.668126	16.131874	16.550050	1.000000
7.200000	41.059481	16.540519	16.636119	1.000000
7.300000	41.446943	16.953057	16.722055	1.000000
7.400000	41.830550	17.369450	16.807860	1.000000
7.500000	42.210339	17.789661	16.893534	1.000000
7.600000	42.586350	18.213650	16.979080	1.000000
7.700000	42.958619	18.641381	17.064498	1.000000
7.800000	43.327185	19.072815	17.149790	1.000000
7.900000	43.692083	19.507917	17.234957	1.000000
8.000000	44.053350	19.946650	17.320001	1.000000
8.100000	44.411023	20.388977	17.404921	1.000000
8.200000	44.765137	20.834863	17.489721	1.000000
8.300000	45.115727	21.284273	17.574400	1.000000
8.400000	45.462830	21.737170	17.658960	1.000000
8.500000	45.806478	22.193522	17.743403	1.000000
8.600000	46.146707	22.653293	17.827729	1.000000
8.700000	46.483551	23.116449	17.911939	1.000000
8.800000	46.817044	23.582956	17.996036	1.000000
8.900000	47.147218	24.052782	18.080019	1.000000
9.000000	47.474107	24.525893	18.163890	1.000000
9.100000	47.797743	25.002257	18.247650	1.000000
9.200000	48.118159	25.481841	18.331301	1.000000
9.300000	48.435387	25.964613	18.414843	1.000000
9.400000	48.749459	26.450541	18.498277	1.000000
9.500000	49.060405	26.939595	18.581605	1.000000
9.600000	49.368258	27.431742	18.664827	1.000000
9.700000	49.673047	27.926953	18.747945	1.000000
9.800000	49.974804	28.425196	18.830959	1.000000
9.900000	50.273559	28.926441	18.913871	1.000000
10.000000	50.569340	29.430660	18.996682	1.000000
10.100000	50.862179	29.937821	19.079392	1.000000
10.200000	51.152104	30.447896	19.162004	1.000000
10.300000	51.439144	30.960856	19.244516	1.000000
10.400000	51.723329	31.476671	19.326932	1.000000
10.500000	52.004685	31.995315	19.409251	1.000000
10.600000	52.283242	32.516758	19.491474	1.000000
10.700000	52.559028	33.040972	19.573603	1.000000
10.800000	52.832069	33.567931	19.655639	1.000000
10.900000	53.102394	34.097606	19.737582	1.000000
11.000000	53.370028	34.629972	19.819433	1.000000
11.100000	53.635000	35.165000	19.901193	1.000000
11.200000	53.897336	35.702664	19.982864	1.000000
11.220996	53.952084	35.815884	20.000000	0.183928
11.300000	53.482638	36.462720	20.000000	0.184050
11.400000	53.098888	36.993084	20.000000	0.184296
11.500000	52.719194	37.519648	20.000000	0.184704
11.600000	52.343648	38.042454	20.000000	0.185288
11.700000	51.972355	38.561543	20.000000	0.186067
11.800000	51.605435	39.076958	20.000000	0.187058
11.900000	51.243017	39.588742	20.000000	0.188281
12.000000	50.885252	40.096942	20.000000	0.189761
12.100000	50.532303	40.601605	20.000000	0.191520
12.200000	50.184356	41.102779	20.000000	0.193588
12.300000	49.841613	41.600514	20.000000	0.195994
12.400000	49.504305	42.094864	20.000000	0.198772
12.500000	49.172682	42.585884	20.000000	0.201957
12.600000	48.847027	43.073631	20.000000	0.205591
12.700000	48.527650	43.558166	20.000000	0.209717
12.800000	48.214896	44.039554	20.000000	0.214385
12.900000	47.909147	44.517860	20.000000	0.219649
13.000000	47.610824	44.993158	20.000000	0.225568
13.100000	47.320395	45.465522	20.000000	0.232206
13.200000	47.038376	45.935034	20.000000	0.239637
13.300000	46.765337	46.401779	20.000000	0.247938
13.400000	46.501907	46.865849	20.000000	0.257198
13.500000	46.248782	47.327343	20.000000	0.267511
13.600000	46.006728	47.786365	20.000000	0.278984
13.700000	45.776591	48.243031	20.000000	0.291732
13.800000	45.559306	48.697462	20.000000	0.305883
13.900000	45.355900	49.149789	20.000000	0.321578
14.000000	45.167510	49.600156	20.000000	0.338971
14.100000	44.995384	50.048716	20.000000	0.358234
14.200000	44.840902	50.495638	20.000000	0.379553
14.300000	44.705582	50.941101	20.000000	0.403135
14.400000	44.591098	51.385303	20.000000	0.429206
14.500000	44.499291	51.828458	20.000000	0.458017
14.600000	44.432192	52.270800	20.000000	0.489843
14.700000	44.392036	52.712583	20.000000	0.524985
14.800000	44.381284	53.154083	20.000000	0.563777
14.900000	44.402647	53.595604	20.000000	0.606586
15.000000	44.459107	54.037475	20.000000	0.653814
15.100000	44.553949	54.480057	20.000000	0.705904
15.200000	44.690787	54.923746	20.000000	0.763344
15.300000	44.873602	55.368974	20.000000	0.826671
15.400000	45.106770	55.816212	20.000000	0.896475
15.500000	45.395113	56.265979	20.000000	0.973406
15.600000	45.743931	56.718843	20.000000	1.058177
15.700000	46.159061	57.175424	20.000000	1.151576
15.800000	46.646921	57.636405	20.000000	1.254466
15.900000	47.214576	58.102532	20.000000	1.367798
16.000000	47.869795	58.574626	20.000000	1.492618
16.100000	48.621127	59.053586	20.000000	1.630076
16.200000	49.477975	59.540398	20.000000	1.781438
16.300000	50.450682	60.036147	20.000000	1.948094
16.400000	51.550625	60.542022	20.000000	2.131576
16.500000	52.790318	61.059327	20.000000	2.333565
16.600000	54.183521	61.589496	20.000000	2.555913
16.700000	55.745370	62.134104	20.000000	2.800654
16.800000	57.492508	62.694880	20.000000	3.070026
16.900000	59.443239	63.273722	20.000000	3.366489
17.000000	61.617687	63.872717	20.000000	3.692749
17.100000	64.037982	64.494155	20.000000	4.051780
17.200000	66.728455	65.140554	20.000000	4.446853
17.300000	69.715859	65.814679	20.000000	4.881563
17.400000	73.029603	66.519568	20.000000	5.359861
17.500000	76.702023	67.258559	20.000000	5.886095
17.600000	80.768663	68.035319	20.000000	6.465039
17.700000	85.268596	68.853876	20.000000	7.101945
17.800000	90.244774	69.718657	20.000000	7.802584
17.900000	95.744405	70.634526	20.000000	8.573299
18.000000	101.819381	71.606826	20.000000	9.421062
18.100000	108.526732	72.641429	20.000000	10.353535
18.200000	115.929136	73.744783	20.000000	11.379141
18.300000	124.095476	74.923976	20.000000	12.507133
18.400000	133.101447	76.186794	20.000000	13.747681
18.500000	143.030230	77.541789	20.000000	15.111960
18.600000	153.973226	78.998358	20.000000	16.612250
18.700000	166.030864	80.566825	20.000000	18.262042
18.800000	179.313487	82.258528	20.000000	20.076161
18.900000	193.942326	84.085925	20.000000	22.070893
19.000000	210.050564	86.062700	20.000000	24.264130
19.100000	227.784514	88.203881	20.000000	26.675527
19.200000	247.304901	90.525979	20.000000	29.326675
19.300000	268.788270	93.047124	20.000000	32.241291
19.400000	292.428542	95.787232	20.000000	35.445425
19.500000	318.438703	98.768172	20.000000	38.967690
19.600000	347.052672	102.013964	20.000000	42.839508
19.700000	378.527345	105.550983	20.000000	47.095390
19.800000	413.144835	109.408191	20.000000	51.773231
19.900000	451.214928	113.617390	20.000000	56.914647
20.000000	493.077784	118.213500	20.000000	62.565332
