0	 1	 0	 0	 
2e-06	 0.999998	 6.66665e-07	 1.33333e-06	 
4e-06	 0.999996	 8.88886e-07	 3.1111e-06	 
6e-06	 0.999994	 9.62958e-07	 5.03702e-06	 
8e-06	 0.999992	 9.87647e-07	 7.01231e-06	 
1e-05	 0.99999	 9.95876e-07	 9.00406e-06	 
1.2e-05	 0.999988	 9.98617e-07	 1.10013e-05	 
1.4e-05	 0.999986	 9.9953e-07	 1.30004e-05	 
1.6e-05	 0.999984	 9.99833e-07	 1.5e-05	 
1.8e-05	 0.999982	 9.99932e-07	 1.69999e-05	 
2e-05	 0.99998	 9.99964e-07	 1.89998e-05	 
2.2e-05	 0.999978	 9.99973e-07	 2.09998e-05	 
2.4e-05	 0.999976	 9.99975e-07	 2.29997e-05	 
2.6e-05	 0.999974	 9.99974e-07	 2.49997e-05	 
2.8e-05	 0.999972	 9.99973e-07	 2.69996e-05	 
3e-05	 0.99997	 9.99971e-07	 2.89995e-05	 
3.2e-05	 0.999968	 9.99969e-07	 3.09995e-05	 
3.4e-05	 0.999966	 9.99967e-07	 3.29994e-05	 
3.6e-05	 0.999964	 9.99965e-07	 3.49994e-05	 
3.8e-05	 0.999962	 9.99963e-07	 3.69993e-05	 
4e-05	 0.99996	 9.99961e-07	 3.89992e-05	 
4.2e-05	 0.999958	 9.99959e-07	 4.09991e-05	 
4.4e-05	 0.999956	 9.99957e-07	 4.2999e-05	 
4.6e-05	 0.999954	 9.99955e-07	 4.49989e-05	 
4.8e-05	 0.999952	 9.99953e-07	 4.69988e-05	 
5e-05	 0.99995	 9.99951e-07	 4.89987e-05	 
5.2e-05	 0.999948	 9.99949e-07	 5.09986e-05	 
5.4e-05	 0.999946	 9.99947e-07	 5.29985e-05	 
5.6e-05	 0.999944	 9.99945e-07	 5.49984e-05	 
5.8e-05	 0.999942	 9.99943e-07	 5.69983e-05	 
6e-05	 0.99994	 9.99941e-07	 5.89982e-05	 
6.2e-05	 0.999938	 9.99939e-07	 6.09981e-05	 
6.4e-05	 0.999936	 9.99937e-07	 6.2998e-05	 
6.6e-05	 0.999934	 9.99935e-07	 6.49978e-05	 
6.8e-05	 0.999932	 9.99933e-07	 6.69977e-05	 
7e-05	 0.99993	 9.99931e-07	 6.89975e-05	 
7.2e-05	 0.999928	 9.99929e-07	 7.09974e-05	 
7.4e-05	 0.999926	 9.99927e-07	 7.29973e-05	 
7.6e-05	 0.999924	 9.99925e-07	 7.49971e-05	 
7.8e-05	 0.999922	 9.99923e-07	 7.6997e-05	 
8e-05	 0.99992	 9.99921e-07	 7.89968e-05	 
8.2e-05	 0.999918	 9.99919e-07	 8.09966e-05	 
8.4e-05	 0.999916	 9.99917e-07	 8.29965e-05	 
8.6e-05	 0.999914	 9.99915e-07	 8.49963e-05	 
8.8e-05	 0.999912	 9.99913e-07	 8.69961e-05	 
9e-05	 0.99991	 9.99911e-07	 8.89959e-05	 
9.2e-05	 0.999908	 9.99909e-07	 9.09958e-05	 
9.4e-05	 0.999906	 9.99907e-07	 9.29956e-05	 
9.6e-05	 0.999904	 9.99905e-07	 9.49954e-05	 
9.8e-05	 0.999902	 9.99903e-07	 9.69952e-05	 
0.0001	 0.9999	 9.99901e-07	 9.8995e-05	 
