0	 1	 0	 0	 
0.05	 0.951248	 0.0375461	 0.0112061	 
0.1	 0.904872	 0.0589018	 0.0362264	 
0.15	 0.860756	 0.0703072	 0.0689367	 
0.2	 0.818791	 0.0756419	 0.105567	 
0.25	 0.778871	 0.0773122	 0.143817	 
0.3	 0.740896	 0.0768054	 0.182298	 
0.35	 0.704773	 0.0750378	 0.220189	 
0.4	 0.670411	 0.0725704	 0.257019	 
0.45	 0.637723	 0.0697452	 0.292532	 
0.5	 0.606629	 0.066768	 0.326603	 
0.55	 0.57705	 0.0637615	 0.359188	 
0.6	 0.548913	 0.0607973	 0.390289	 
0.65	 0.522148	 0.0579157	 0.419936	 
0.7	 0.496688	 0.0551383	 0.448174	 
0.75	 0.472468	 0.0524751	 0.475057	 
0.8	 0.44943	 0.0499297	 0.500641	 
0.85	 0.427514	 0.0475016	 0.524984	 
0.9	 0.406667	 0.0451883	 0.548145	 
0.95	 0.386836	 0.0429857	 0.570178	 
1	 0.367972	 0.0408896	 0.591139	 
1.05	 0.350027	 0.0388953	 0.611077	 
1.1	 0.332958	 0.036998	 0.630044	 
1.15	 0.31672	 0.0351933	 0.648086	 
1.2	 0.301274	 0.0334766	 0.665249	 
1.25	 0.286582	 0.0318436	 0.681575	 
1.3	 0.272605	 0.0302904	 0.697104	 
1.35	 0.25931	 0.0288129	 0.711877	 
1.4	 0.246663	 0.0274075	 0.725929	 
1.45	 0.234633	 0.0260707	 0.739296	 
1.5	 0.22319	 0.0247991	 0.752011	 
1.55	 0.212304	 0.0235895	 0.764106	 
1.6	 0.201949	 0.0224389	 0.775612	 
1.65	 0.192099	 0.0213445	 0.786556	 
1.7	 0.18273	 0.0203034	 0.796967	 
1.75	 0.173817	 0.019313	 0.80687	 
1.8	 0.165339	 0.018371	 0.81629	 
1.85	 0.157274	 0.0174749	 0.825251	 
1.9	 0.149602	 0.0166225	 0.833775	 
1.95	 0.142305	 0.0158117	 0.841883	 
2	 0.135363	 0.0150404	 0.849596	 
2.05	 0.12876	 0.0143067	 0.856933	 
2.1	 0.122479	 0.0136088	 0.863912	 
2.15	 0.116505	 0.012945	 0.87055	 
2.2	 0.110821	 0.0123135	 0.876865	 
2.25	 0.105415	 0.0117128	 0.882872	 
2.3	 0.100273	 0.0111414	 0.888586	 
2.35	 0.0953808	 0.0105979	 0.894021	 
2.4	 0.0907276	 0.0100808	 0.899192	 
2.45	 0.0863014	 0.00958904	 0.90411	 
2.5	 0.082091	 0.00912122	 0.908788	 
2.55	 0.078086	 0.00867622	 0.913238	 
2.6	 0.0742763	 0.00825293	 0.917471	 
2.65	 0.0706525	 0.00785027	 0.921497	 
2.7	 0.0672054	 0.00746726	 0.925327	 
2.75	 0.0639264	 0.00710293	 0.928971	 
2.8	 0.0608073	 0.00675637	 0.932436	 
2.85	 0.0578404	 0.00642671	 0.935733	 
2.9	 0.0550182	 0.00611314	 0.938869	 
2.95	 0.0523337	 0.00581486	 0.941851	 
3	 0.0497801	 0.00553113	 0.944689	 
3.05	 0.0473511	 0.00526124	 0.947388	 
3.1	 0.0450406	 0.00500451	 0.949955	 
3.15	 0.0428428	 0.00476031	 0.952397	 
3.2	 0.0407522	 0.00452802	 0.95472	 
3.25	 0.0387635	 0.00430706	 0.956929	 
3.3	 0.0368719	 0.00409688	 0.959031	 
3.35	 0.0350726	 0.00389696	 0.96103	 
3.4	 0.0333611	 0.00370678	 0.962932	 
3.45	 0.031733	 0.00352589	 0.964741	 
3.5	 0.0301844	 0.00335382	 0.966462	 
3.55	 0.0287113	 0.00319014	 0.968099	 
3.6	 0.0273101	 0.00303446	 0.969655	 
3.65	 0.0259773	 0.00288636	 0.971136	 
3.7	 0.0247094	 0.00274549	 0.972545	 
3.75	 0.0235035	 0.0026115	 0.973885	 
3.8	 0.0223564	 0.00248404	 0.97516	 
3.85	 0.0212652	 0.0023628	 0.976372	 
3.9	 0.0202273	 0.00224748	 0.977525	 
3.95	 0.01924	 0.00213778	 0.978622	 
4	 0.0183009	 0.00203344	 0.979666	 
